stage,scenario,n,p,learner,tabicl_estimators,success_count,failure_count,oom_count,bias,rmse,empirical_sd,mean_standard_error,coverage,mean_interval_length,mean_runtime_seconds,mean_l_mse,mean_m_mse,bias_mcse
stage2,linear,2000,50,ensemble,0,100,0,0,0.003303621231745938,0.024787698595060303,0.024690326253448518,0.022411957115042833,0.94,0.08785325753708033,3296.3446144940017,0.02330613720280536,0.010427331288927111,0.0024690326253448518
stage2,linear,2000,50,lasso,0,100,0,0,0.0034855518338065316,0.024991381145329714,0.024871793686357984,0.02240440503496769,0.94,0.08782365392716908,0.11607814900344238,0.0218588127176173,0.009717150483958494,0.0024871793686357985
stage2,linear,2000,50,mlp,0,100,0,0,-0.10983356903722076,0.11320198910567686,0.027547524591861938,0.024603369068884384,0.01,0.0964434345467203,10.398382420991547,0.36947997478733036,0.19383287103380795,0.002754752459186194
stage2,linear,2000,50,random_forest,0,100,0,0,-0.03159279465811089,0.04007625121872871,0.02478190194633723,0.02289420250069617,0.69,0.08974362471226267,731.0385355470039,0.1722099961404057,0.1056530169912462,0.002478190194633723
stage2,linear,2000,50,tabiclv2_1,1,100,0,0,0.0020414383818978268,0.02495151727352195,0.024993145395313724,0.022432411519960525,0.93,0.08793343733100809,4.900957251001382,0.017903186510324832,0.008671263738614135,0.0024993145395313726
stage2,linear,2000,50,tabiclv2_8,8,100,0,0,0.002790809774171685,0.025015222296588632,0.02498429258780935,0.022427266635163378,0.93,0.08791326975319404,13.521743524005869,0.01644522887304145,0.007219057215599187,0.002498429258780935
stage2,linear,2000,50,xgboost,0,100,0,0,-0.017927414933082076,0.03118875782609856,0.02565006169981218,0.022874136812116887,0.83,0.0896649686583819,555.3958624450024,0.17296054041515926,0.08855971978874828,0.002565006169981218
stage2,smooth,500,50,ensemble,0,100,0,0,-0.0007431460400161927,0.0578278462425507,0.05811437290721879,0.0523232750897539,0.95,0.2051034694581989,1237.6950630849983,0.8292624900175507,0.23930072560635818,0.005811437290721879
stage2,smooth,500,50,lasso,0,100,0,0,0.23363497153487167,0.2390048062134535,0.05063233953809749,0.05012694347093747,0.01,0.1964940077162253,0.1002354909980204,2.4533866051663695,0.647192148261741,0.0050632339538097485
stage2,smooth,500,50,mlp,0,100,0,0,0.0775210239153508,0.09527124609739845,0.05566041685172457,0.05331692060812234,0.67,0.2089984883170024,3.7635606329911386,2.916115857497098,1.0027066727548564,0.005566041685172457
stage2,smooth,500,50,random_forest,0,100,0,0,-0.0094824111908805,0.05995358260125718,0.05949718561150375,0.05306384688485965,0.91,0.20800645755094563,115.51602207999676,0.8561942607081964,0.24300473633245578,0.005949718561150375
stage2,smooth,500,50,tabiclv2_1,1,100,0,0,0.0021316127847724074,0.04969406580296058,0.04989844639354684,0.05004100242859,0.94,0.19615712502063556,4.28641352899489,0.4497182217198701,0.09286208898468842,0.004989844639354684
stage2,smooth,500,50,tabiclv2_8,8,100,0,0,0.002296301475164779,0.049699632533196564,0.0498966656794742,0.05006526172983697,0.94,0.1962522197341039,9.445156072999817,0.4435457389220248,0.08805594476429361,0.00498966656794742
stage2,smooth,500,50,xgboost,0,100,0,0,-0.0042972798150550575,0.0610323797363459,0.06118761314594336,0.05259496828417851,0.88,0.20616848721003259,176.64206216099905,0.9081107785754021,0.2727818723505811,0.006118761314594336
stage2,smooth,1000,50,ensemble,0,100,0,0,-0.010237284321008802,0.03775295796809919,0.036521528797808886,0.03607542356002753,0.95,0.1414130618093634,2143.4620691690056,0.5987206362478174,0.15261742877118253,0.0036521528797808884
stage2,smooth,1000,50,lasso,0,100,0,0,0.2273833257829213,0.22973925590025496,0.03298222443663534,0.035411389836730346,0.0,0.1388100974449984,0.1070757660001982,2.378540222054482,0.6260116049415941,0.0032982224436635343
stage2,smooth,1000,50,mlp,0,100,0,0,0.0647342222068096,0.07715735052333637,0.04219647664764375,0.03858975442315493,0.6,0.15126905768325785,6.602201269002398,2.6922448305293147,0.8639882895935513,0.004219647664764375
stage2,smooth,1000,50,random_forest,0,100,0,0,-0.020146048263069188,0.043023369957752716,0.03820660345251225,0.03699690718072392,0.93,0.14502521122718037,262.5300373129989,0.6653405167742763,0.16358824296702157,0.0038206603452512248
stage2,smooth,1000,50,tabiclv2_1,1,100,0,0,0.00014928907638451117,0.0358297969757176,0.036009988290187055,0.03491599335322544,0.95,0.13686817891352354,4.882586428992218,0.361336565930838,0.05756488486067069,0.0036009988290187055
stage2,smooth,1000,50,tabiclv2_8,8,100,0,0,0.0014906658521230476,0.0351234753060439,0.035268614726679866,0.03504789398239508,0.95,0.13738521987894484,12.879210062001366,0.36921378085741224,0.054523363890626085,0.0035268614726679864
stage2,smooth,1000,50,xgboost,0,100,0,0,-0.0143271551320329,0.04013243809466369,0.03767679152262128,0.035637636371573266,0.94,0.13969696756483657,216.32163636900484,0.6246156739106978,0.18213896923009823,0.003767679152262128
stage2,smooth,1000,100,ensemble,0,100,0,0,-0.01760076430271479,0.04305148060221948,0.03948715528278568,0.036467691675527394,0.9,0.1429507245666897,3704.2732480669883,0.6459386427820906,0.16674962885343636,0.003948715528278568
stage2,smooth,1000,100,lasso,0,100,0,0,0.2244436557847446,0.2272953507290304,0.03607262373102917,0.03529896337076814,0.0,0.13836939379660831,0.12263053300208412,2.398274009954439,0.6362368708180162,0.0036072623731029175
