config,lasso,random_forest,xgboost,mlp,ensemble,tabiclv2_1,tabiclv2_8
linear_n2000_p50,0.0249913811453297,0.0400762512187287,0.0311887578260985,0.1132019891056768,0.0247876985950603,0.0249515172735219,0.0250152222965886
smooth_n1000_p100,0.2272953507290304,0.0494318833487547,0.0449991250496945,0.0754749388471762,0.0430514806022194,0.0379411639395885,0.0381945551847418
smooth_n1000_p50,0.2297392559002549,0.0430233699577527,0.0401324380946636,0.0771573505233363,0.0377529579680991,0.0358297969757176,0.0351234753060439
smooth_n500_p50,0.2390048062134535,0.0599535826012571,0.0610323797363459,0.0952712460973984,0.0578278462425507,0.0496940658029605,0.0496996325331965
tree_n2000_p10,0.0759121243794943,0.1005381665331137,0.0566005353337871,0.0770124005686499,0.0685315381769202,0.0999746805943666,0.1015641637559828
tree_n5000_p10,0.0730880260596325,0.0833578549144106,0.043784420889464,0.0754182825955044,0.0474866217163232,0.0936333803495538,0.0962674558385997
tree_n5000_p50,0.0712165502511504,0.1297014623304687,0.1012633783671447,0.1221541635514324,0.1091548878370761,0.1067655447239615,0.1156774991493824
