config,best_traditional,best_traditional_rmse,tab_model,tab_rmse,rmse_improvement_pct,tab_bias,tab_coverage,best_traditional_coverage,tab_runtime_seconds,best_traditional_runtime_seconds,runtime_ratio,best_overall
linear_n2000_p50,ensemble,0.0247876985950603,tabiclv2_1,0.0249515172735219,-0.6608870034196915,0.0020414383818978,0.93,0.94,4.900957251001382,3296.3446144940017,0.0014867854621303583,ensemble
linear_n2000_p50,ensemble,0.0247876985950603,tabiclv2_8,0.0250152222965886,-0.9178895759755689,0.0027908097741716,0.93,0.94,13.521743524005869,3296.3446144940017,0.004102041838875361,ensemble
smooth_n500_p50,ensemble,0.0578278462425507,tabiclv2_1,0.0496940658029605,14.065508173128583,0.0021316127847724,0.94,0.95,4.28641352899489,1237.6950630849983,0.0034632226118046024,tabiclv2_1
smooth_n500_p50,ensemble,0.0578278462425507,tabiclv2_8,0.0496996325331965,14.055881789651227,0.0022963014751647,0.94,0.95,9.445156072999817,1237.6950630849983,0.007631246463452342,tabiclv2_1
smooth_n1000_p50,ensemble,0.0377529579680991,tabiclv2_1,0.0358297969757176,5.094067050339605,0.0001492890763845,0.95,0.95,4.882586428992218,2143.4620691690056,0.0022778972855279577,tabiclv2_8
smooth_n1000_p50,ensemble,0.0377529579680991,tabiclv2_8,0.0351234753060439,6.964971232921899,0.001490665852123,0.95,0.95,12.879210062001366,2143.4620691690056,0.006008601806979715,tabiclv2_8
smooth_n1000_p100,ensemble,0.0430514806022194,tabiclv2_1,0.0379411639395885,11.870246019755838,-0.0072129572693743,0.91,0.9,4.910811087006005,3704.273248066988,0.001325715129025276,tabiclv2_1
smooth_n1000_p100,ensemble,0.0430514806022194,tabiclv2_8,0.0381945551847418,11.281668712753198,-0.0073400515806055,0.92,0.9,15.290129200000084,3704.273248066988,0.004127700138746238,tabiclv2_1
tree_n2000_p10,xgboost,0.0566005353337871,tabiclv2_1,0.0999746805943666,-76.63204067733922,-0.0974378915932741,0.01,0.42,4.318975861992222,54.99382433399791,0.07853565221726494,xgboost
tree_n2000_p10,xgboost,0.0566005353337871,tabiclv2_8,0.1015641637559828,-79.44028825351963,-0.0991474753966135,0.01,0.42,7.391554579004878,54.99382433399791,0.13440699330370667,xgboost
tree_n5000_p10,xgboost,0.043784420889464,tabiclv2_1,0.0936333803495538,-113.85090506492261,-0.0923003309703732,0.0,0.25,4.963697966991458,87.23213577199378,0.05690217169467806,xgboost
tree_n5000_p10,xgboost,0.043784420889464,tabiclv2_8,0.0962674558385997,-119.86691586405082,-0.0948468545205322,0.0,0.25,13.032343614997808,87.23213577199378,0.14939842409753187,xgboost
tree_n5000_p50,lasso,0.0712165502511504,tabiclv2_1,0.1067655447239615,-49.91676000514624,-0.1054987123144118,0.0,0.0,6.712795423998032,0.1884708440036047,35.61715584968486,lasso
tree_n5000_p50,lasso,0.0712165502511504,tabiclv2_8,0.1156774991493824,-62.430641110018954,-0.1145473359663861,0.0,0.0,26.722121280994035,0.1884708440036047,141.78384684520725,lasso
