stage,scenario,n,p,learner_l,learner_m,learner_l_config_hash,learner_m_config_hash,success_count,bias,rmse,empirical_sd,mean_standard_error,coverage,mean_interval_length,mean_l_mse,mean_m_mse,mean_lm_error_cross,mean_theta_proxy,mean_proxy_error,mean_runtime_seconds,bias_mcse,coverage_mcse
stage3b_tree_simple_batch_a,tree_simple,2000,10,oracle,oracle,default,default,50,-0.0004210331254549393,0.025809994545101633,0.026068562455481746,0.022264139277009643,0.92,0.08727382225944508,0.0,0.0,0.0,1.0,-0.00042103312545494376,1.9342000887263565e-05,0.003686651457611236,0.038366652186501746
stage3b_tree_simple_batch_a,tree_simple,2000,10,oracle,tabiclv2_1,default,default,50,-0.04447997921077318,0.05194835574739264,0.02710830722639232,0.02223433142046151,0.46,0.08715697760886373,0.0,0.04626720990801269,0.0,0.9558009576752114,-0.00028093688598445076,2.0580221219995294,0.0038336935732540597,0.07048404074682439
stage3b_tree_simple_batch_a,tree_simple,2000,10,oracle,xgboost,default,default,50,-0.07008224965026111,0.07457308263581425,0.025746466723441493,0.022197752405901463,0.12,0.08701359050660841,0.0,0.07456774097045657,0.0,0.9306320378088873,-0.0007142874591483617,31.264534016000397,0.003641100242347854,0.04595650117230423
stage3b_tree_simple_batch_a,tree_simple,2000,10,tabiclv2_1,oracle,default,default,50,0.0007490590179941581,0.0265878421210328,0.026847115514891464,0.023849506714702956,0.94,0.09348834841972797,0.14338530627110063,0.0,0.0,1.0,0.0007490590179943535,2.0903747240034862,0.0037967554871756646,0.03358571124749334
stage3b_tree_simple_batch_a,tree_simple,2000,10,tabiclv2_1,tabiclv2_1,default,default,50,0.004099368684536753,0.02832208220670434,0.028308351636199755,0.022738936275559323,0.9,0.08913499229369524,0.14338530627110063,0.04626720990801269,0.050042161854593044,1.00360744542367,0.0004919232608664714,4.148377504002128,0.004003405481234029,0.04242640687119285
stage3b_tree_simple_batch_a,tree_simple,2000,10,tabiclv2_1,xgboost,default,default,50,-0.029441942408177102,0.039677248317905825,0.026868084042534268,0.022868313883366236,0.66,0.08964214319711024,0.14338530627110063,0.07456774097045657,0.04287979825873861,0.9705210848501884,3.69727416344956e-05,33.354889398002996,0.0037997208847932095,0.0669925368977769
stage3b_tree_simple_batch_a,tree_simple,2000,10,xgboost,oracle,default,default,50,0.0010356041641865765,0.026737538536641552,0.02698872574540572,0.024023072857671548,0.92,0.09416871519803588,0.16688022817772857,0.0,0.0,1.0,0.001035604164186752,31.434015881999514,0.003816782198032069,0.038366652186501746
stage3b_tree_simple_batch_a,tree_simple,2000,10,xgboost,tabiclv2_1,default,default,50,-0.009319585457418178,0.028609545087139126,0.02732367212067377,0.023227881585741312,0.88,0.0910516226904282,0.16688022817772857,0.04626720990801269,0.035618657698256326,0.9898296605494395,0.0008507539931421327,33.49201866199815,0.003864150768689247,0.04595650117230423
stage3b_tree_simple_batch_a,tree_simple,2000,10,xgboost,xgboost,default,default,50,-0.007229652013491239,0.027498478128851075,0.026800442258891267,0.02256210184258959,0.92,0.08844181405400077,0.16688022817772857,0.07456774097045657,0.06670622684988006,0.9926866333049499,8.371468155864204e-05,62.69853055599902,0.0037901548920121057,0.038366652186501746
