scenario,learner,configurations,mean_rmse,median_rmse,mean_coverage,mean_runtime_seconds
linear,ensemble,12,0.027765358522818282,0.0278502999459634,0.9416666666666668,2352.72766857375
linear,lasso,12,0.02750452127773392,0.02735160811194165,0.9416666666666668,0.11551555458290554
linear,mlp,12,0.10646503379075907,0.1263313925966392,0.3,10.101048335833498
linear,random_forest,12,0.04726500467735296,0.044357758889274845,0.7000000000000001,527.29576119625
linear,tabiclv2,12,0.028112597666089575,0.0286135213166926,0.9375,4.618798341666649
linear,xgboost,12,0.03912495118597562,0.033923695287927005,0.8333333333333334,221.6376903654168
mixed,ensemble,12,0.032620835984485216,0.03317964407023945,0.9291666666666667,4014.02047301792
mixed,lasso,12,0.05752940030580376,0.0587295683218989,0.8375,0.11284303708307558
mixed,mlp,12,0.09588722930422489,0.09035849031692945,0.36250000000000004,11.574481106662764
mixed,random_forest,12,0.03843166003712826,0.03716412041945915,0.8666666666666667,799.1252819925018
mixed,tabiclv2,12,0.03129485244465863,0.02865959110126725,0.9208333333333334,4.708399920833396
mixed,xgboost,12,0.03990351820752782,0.03793274226570975,0.875,221.47255846250312
smooth,ensemble,12,0.034393509523771106,0.03320622762108705,0.9333333333333332,12497.237671489165
smooth,lasso,12,0.23386290076521546,0.232397900596719,0.0,0.11314854791453394
smooth,mlp,12,0.07870224890708895,0.0806638813898055,0.4916666666666667,12.260408839166486
smooth,random_forest,12,0.04089850121684422,0.041110648802479346,0.875,2608.233912589167
smooth,tabiclv2,12,0.031961584004686856,0.02678506631408045,0.9291666666666667,4.665880432499929
smooth,xgboost,12,0.03376197567187549,0.0328161127569688,0.9291666666666667,224.93884693291764
tree,ensemble,12,0.10183318783854119,0.1079242550349426,0.21666666666666667,2306.400665337918
tree,lasso,12,0.07884994739715988,0.0766679547959647,0.25833333333333336,0.10380338708249226
tree,mlp,12,0.13401755536199753,0.14751142301130094,0.09999999999999999,10.392767694582774
tree,random_forest,12,0.11439391073566285,0.11421624804193539,0.1125,508.8075284799981
tree,tabiclv2,12,0.10307308512917246,0.10385123147225865,0.14583333333333334,4.690634110833366
tree,xgboost,12,0.1055264872862741,0.1173492703937722,0.21666666666666667,213.31360751708903
