scenario,configurations,tabiclv2_wins,mean_improvement_percent,median_improvement_percent,min_improvement_percent,max_improvement_percent,win_rate_percent
linear,12,5,-2.1574879566518343,-1.1709878324048504,-12.314693218592385,3.245313673748924,41.666666666666664
mixed,12,9,6.683225586825291,9.43428019317941,-24.513033474185686,24.4947637020368,75.0
smooth,12,7,2.3459820053586555,5.9655604853592035,-19.384679219618715,25.4720006159368,58.333333333333336
tree,12,0,-46.534094301773614,-36.73446162700287,-172.55928146900752,-13.440105076781999,0.0
