scenario,n,p,selection_role,best_traditional_learner,best_traditional_rmse,best_traditional_coverage,best_traditional_runtime_seconds,tabiclv2_rmse,tabiclv2_coverage,tabiclv2_runtime_seconds,rmse_difference_tab_minus_traditional,tabiclv2_improvement_percent,tabiclv2_wins
smooth,1000,50,TabICLv2优势端,xgboost,0.0480614204789095,0.85,207.17989300500196,0.0358192151584937,0.95,4.206791239999712,-0.012242205320415804,25.4720006159368,True
smooth,500,50,TabICLv2优势端,xgboost,0.065635141089306,0.85,166.25372202999569,0.0574013225659423,0.9,3.8273474999998154,-0.008233818523363703,12.544832519153749,True
smooth,1000,100,TabICLv2优势端,xgboost,0.0320839445972822,0.95,411.9985500449984,0.0259478926160408,0.95,4.381075699999565,-0.006136051981241401,19.12499244797094,True
tree,5000,10,TabICLv2劣势端,xgboost,0.0319288621849554,0.5,56.60692001500574,0.0870250773525441,0.0,4.608538995000072,0.0550962151675887,-172.55928146900752,False
tree,2000,10,TabICLv2劣势端,xgboost,0.0611633577691939,0.4,46.2988462850044,0.102878217248953,0.0,3.787432069999977,0.04171485947975911,-68.20236985218231,False
tree,5000,50,TabICLv2劣势端,lasso,0.0693479878177455,0.0,0.1573099349916447,0.1068404056255841,0.0,6.186387970000124,0.0374924178078386,-54.06417545433762,False
linear,2000,50,线性基准,ensemble,0.0195989328868443,1.0,2177.7699422550004,0.0206682341206076,1.0,4.331798894999883,0.001069301233763302,-5.4559155844707545,False
