stage,scenario,n,p,learner,tabicl_estimators,success_count,failure_count,oom_count,bias,rmse,empirical_sd,mean_standard_error,coverage,mean_interval_length,mean_runtime_seconds,mean_l_mse,mean_m_mse,bias_mcse
stage1,mixed,500,10,lasso,0,20,0,0,0.013325114698861018,0.08331840968145714,0.08438257933277417,0.07136770736441181,0.9,0.27975627218688215,0.07915235499094705,1.2938074115796314,0.19511138747924614,0.018868518350485187
stage1,mixed,500,10,mlp,0,20,0,0,-0.04869040617306278,0.08462072905299217,0.07100713182981643,0.059397359390264116,0.9,0.23283337036339927,5.416800619993592,0.8240083353107883,0.2443400660170832,0.015877677365875854
stage1,mixed,500,10,random_forest,0,20,0,0,-0.0296291735518455,0.061154240063797306,0.05488699541512707,0.0501259910611932,0.9,0.1964902743386307,40.688152835005894,0.5052899838280664,0.16777193068688645,0.012273105282894341
stage1,mixed,500,10,tabiclv2,1,20,0,0,-0.015373105568298,0.05742859856201368,0.05677018822904263,0.04556767195333164,0.85,0.17862199177573185,3.601930230000016,0.20705734336550202,0.09241696155271009,0.012694199997559772
stage1,mixed,500,10,xgboost,0,20,0,0,-0.04203876700051903,0.06820521981870095,0.055104628515057756,0.04875413138744424,0.85,0.19111268323384906,31.0632260549959,0.5435875716035021,0.22895538170669177,0.012321769523454243
stage1,mixed,500,50,ensemble,0,20,0,0,-0.028333036566985558,0.0431494424527802,0.033389462927848314,0.05356390563978471,1.0,0.20996665185055985,767.7290663900145,0.5633946088406563,0.1926901020808584,0.007466110883887798
stage1,mixed,500,50,lasso,0,20,0,0,0.013080640302894792,0.0651842535425994,0.06551724368577504,0.06907321596852375,0.95,0.27076203118932696,0.08589209499768913,1.3651412899571849,0.23265259434827074,0.014650101057981185
stage1,mixed,500,50,mlp,0,20,0,0,-0.12363738292726771,0.14497445375437779,0.07767265849824946,0.06168808500877513,0.55,0.24181284978488896,4.103976034987136,1.9387911136078597,0.6172579106657954,0.017368134439521253
stage1,mixed,500,50,random_forest,0,20,0,0,-0.04754823876438635,0.05473538014495976,0.02781757925860177,0.049118422436005026,0.95,0.19254067790398802,93.84811509999562,0.569611995025345,0.23234885312640494,0.0062201998191721754
stage1,mixed,500,50,tabiclv2,1,20,0,0,-0.03828190467069234,0.05372667972515477,0.03867614372919634,0.046417698886295156,0.9,0.181954036124727,3.8056206700001893,0.2322596837673964,0.12153190157145832,0.008648248648603522
stage1,mixed,500,50,xgboost,0,20,0,0,-0.0625678951384039,0.07108878620522385,0.034623904460444936,0.05063793192789436,0.85,0.19849704566052778,152.75213680500164,0.6115877501080463,0.2466609936709549,0.007742140402001305
stage1,mixed,500,100,ensemble,0,20,0,0,0.006772918769711156,0.04793598435539533,0.04868790152820957,0.04991174982746828,0.95,0.19565046413442222,2292.2984808150154,0.6298954483016305,0.19809697927785905,0.01088694574988925
stage1,mixed,500,100,lasso,0,20,0,0,0.048220325838693165,0.08061252967989158,0.0662783612969744,0.06540432177296354,0.9,0.2563802302165548,0.10309459501004312,1.43288855052689,0.232900807890353,0.014820292129732586
stage1,mixed,500,100,mlp,0,20,0,0,-0.16331252121391845,0.1717460090913581,0.05453836943466396,0.054887045819612214,0.2,0.21515326604847934,4.825865399997565,2.1901772317528025,0.9066162069351076,0.012195150143790539
stage1,mixed,500,100,random_forest,0,20,0,0,-0.024106696874885425,0.050267454895165924,0.04525581308889244,0.04764266810198311,1.0,0.18675582721456424,161.2540929599898,0.6367978463110103,0.24817675284078153,0.010119507444378822
stage1,mixed,500,100,tabiclv2,1,20,0,0,-0.013139056657291625,0.05471369083200539,0.054492424916503676,0.04538676116126514,0.85,0.17791283450200193,4.032224605000101,0.266813208376638,0.12830116060193708,0.012184876637210552
stage1,mixed,500,100,xgboost,0,20,0,0,-0.03646845028846889,0.06141554714540664,0.050699543906669975,0.04927673604166809,0.85,0.19316125583471258,337.13379004000745,0.7005487983523933,0.25504620020570595,0.01133676266035493
stage1,mixed,1000,10,ensemble,0,20,0,0,-0.008155810363952826,0.03732590085789498,0.037370205302883014,0.03410980295673745,0.95,0.1337079706299265,379.0080860499962,0.2566002118169021,0.08850337397452648,0.008356231939036953
stage1,mixed,1000,10,lasso,0,20,0,0,0.022294789223657026,0.06085564646787167,0.05809567499524328,0.05074707009442858,0.9,0.19892485941201934,0.0848695700056851,1.2582777388453033,0.18367946154217332,0.012990587848809873
stage1,mixed,1000,10,mlp,0,20,0,0,-0.04122022970214116,0.055146246387495206,0.037585007564369784,0.03508883521192864,0.8,0.13754570654968198,8.717230745003326,0.42031972477901053,0.18723560773621536,0.008404263184877463
stage1,mixed,1000,10,random_forest,0,20,0,0,-0.021617928544990405,0.039609779683988086,0.03405258800023041,0.03437745827982648,0.95,0.13475716021697637,57.1902108399925,0.34009446608478855,0.0989345524605248,0.007614390157830882
