stage,scenario,n,p,learner_l,learner_m,learner_l_config_hash,learner_m_config_hash,success_count,bias,rmse,empirical_sd,mean_standard_error,coverage,mean_interval_length,mean_l_mse,mean_m_mse,mean_lm_error_cross,mean_theta_proxy,mean_proxy_error,mean_runtime_seconds,bias_mcse,coverage_mcse
stage3b_batch_a,tree,2000,10,oracle,oracle,default,default,50,-0.0018068670094311123,0.026010752122226984,0.026211355569484854,0.022487832579067484,0.92,0.08815068389067747,0.0,0.0,0.0,1.0,-0.001806867009431028,1.6183992847800255e-05,0.003706845453454904,0.038366652186501746
stage3b_batch_a,tree,2000,10,oracle,tabiclv2_1,default,default,50,-0.15461047729964716,0.1562193022635142,0.022589294666840388,0.02192707704986798,0.0,0.08595256260795205,0.0,0.18104016424080954,0.0,0.8468320633183655,-0.0014425406180129596,2.074144673906267,0.00319460868822879,0.0
stage3b_batch_a,tree,2000,10,oracle,xgboost,default,default,50,-0.1147183771728928,0.11681457624195664,0.02225407922720777,0.02232198772274963,0.0,0.08750058399986912,0.0,0.1264178941012244,0.0,0.8878318829539554,-0.002550260126848243,27.177795780049635,0.0031472020661242593,0.0
stage3b_batch_a,tree,2000,10,tabiclv2_1,oracle,default,default,50,9.900352528724454e-05,0.02628308159665416,0.026549733395762807,0.02500633144048294,0.84,0.09802301801763633,0.23512515332520045,0.0,0.0,1.0,9.900352528700918e-05,2.060972199914977,0.003754699304567765,0.051845925587262885
stage3b_batch_a,tree,2000,10,tabiclv2_1,tabiclv2_1,default,default,50,-0.09250469068380562,0.09574683746095981,0.024955860733868466,0.023065330639984352,0.02,0.09041443469175504,0.23512515332520045,0.18104016424080954,0.07161799871587769,0.9074468279953477,4.8481320846447404e-05,4.135100689828396,0.0035292916710530963,0.01979898987322333
stage3b_batch_a,tree,2000,10,tabiclv2_1,xgboost,default,default,50,-0.06156968774581517,0.06526533922555228,0.021870165474146917,0.023622297983360747,0.2,0.09259770655892044,0.23512515332520045,0.1264178941012244,0.058227978180495334,0.9394951599984072,-0.0010648477442220994,29.238751795971766,0.003092908462488238,0.05656854249492381
stage3b_batch_a,tree,2000,10,xgboost,oracle,default,default,50,0.0004333423636977418,0.028278930573416624,0.028562679531377755,0.02543166572534206,0.9,0.09969029777706426,0.277149016180807,0.0,0.0,1.0,0.00043334236369770186,28.387209904063493,0.004039372877099082,0.04242640687119285
stage3b_batch_a,tree,2000,10,xgboost,tabiclv2_1,default,default,50,-0.1116418731814397,0.11482457949925656,0.02711984381013545,0.02378689772261763,0.02,0.09324292568053677,0.277149016180807,0.18104016424080954,0.0486306388818363,0.8879901749569367,0.00036795186162363435,30.461338393976913,0.0038353250925733584,0.01979898987322333
stage3b_batch_a,tree,2000,10,xgboost,xgboost,default,default,50,-0.0486554878461295,0.05431875802076605,0.02439410633433188,0.023745800258360414,0.54,0.09308182658093661,0.277149016180807,0.1264178941012244,0.0725366774699908,0.9521924700573221,-0.0008479579034516927,55.564989500120284,0.0034498476019983572,0.07048404074682439
